Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type
1686748465.2945137,0,1686748465,294513740,,rest
1686748468.294514,1,1686748468,294513858,,load
1686748477.294514,2,1686748477,294513931,,unload
1686748480.294514,3,1686748480,294513988,,rest
1686748483.2945142,4,1686748483,294514066,,load
1686748492.2945142,5,1686748492,294514168,,unload
1686748495.2945142,6,1686748495,294514296,,rest
1686748498.2945144,7,1686748498,294514383,,load
1686748507.2945144,8,1686748507,294514444,,unload
1686748510.2945144,9,1686748510,294514461,,rest
1686748513.2945144,10,1686748513,294514478,,load
1686748522.2945147,11,1686748522,294514578,,unload
1686748525.2945147,12,1686748525,294514635,,rest
1686748528.2945147,13,1686748528,294514751,,load
1686748537.294515,14,1686748537,294514811,,unload
1686748540.294515,15,1686748540,294514937,,rest
1686748543.300731,16,1686748543,300731000,,load
1686748552.3007312,17,1686748552,300731078,,unload
1686748555.3007312,18,1686748555,300731115,,rest
1686748558.3007312,19,1686748558,300731180,,load
1686748567.3007336,20,1686748567,300733493,,unload
1686748570.3007643,21,1686748570,300764227,,rest
1686748573.3007643,22,1686748573,300764312,,load
1686748582.3007646,23,1686748582,300764451,,unload
1686748585.3007646,24,1686748585,300764486,,rest
1686748588.3007646,25,1686748588,300764562,,load
1686748597.3007646,26,1686748597,300764618,,unload
1686748600.3007648,27,1686748600,300764723,,rest
1686748603.3007648,28,1686748603,300764789,,load
1686748612.3007648,29,1686748612,300764874,,unload
