Time,layout.dim,layout.data_offset,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9
1686748098.0181346,[],0,0.0031176612776542883,0.023935442994349264,0.06560479426425192,0.0382571097949054,0.22589111328125,0.68499755859375,0.61865234375,-7.381679534912109,14.732824325561523,-4.1984734535217285
1686748098.0183592,[],0,0.003193549607001524,0.023874747631481195,0.06527522964011423,0.03830016623822268,0.23016357421875,0.68646240234375,0.62060546875,-7.5877861976623535,14.526717185974121,-4.267175674438477
1686748098.0729647,[],0,0.0032242786272264285,0.023984241093922467,0.06609488796995167,0.03656687301972112,0.2252197265625,0.68560791015625,0.62176513671875,-7.381679534912109,14.87022876739502,-4.0916032791137695
1686748098.0732071,[],0,0.0031536009233022856,0.02387887744515069,0.06590001465165425,0.03685007663183873,0.22784423828125,0.68341064453125,0.6197509765625,-7.43511438369751,14.832060813903809,-4.183206081390381
1686748098.1255908,[],0,0.003250386572692575,0.023695890306845355,0.06508720899460005,0.036775458407462144,0.22589111328125,0.68359375,0.61834716796875,-7.427480697631836,14.725191116333008,-4.229007720947266
1686748098.1262505,[],0,0.003076727406394399,0.023468301266946368,0.06612621039199405,0.03654991893648239,0.22576904296875,0.6873779296875,0.6214599609375,-7.3053436279296875,14.916030883789062,-4.0
1686748098.1796126,[],0,0.0033820684897491226,0.02435838916858339,0.06477610798345673,0.03644261760705959,0.22674560546875,0.6871337890625,0.61065673828125,-7.648854732513428,14.862595558166504,-4.27480936050415
1686748098.1807709,[],0,0.0032155288726229978,0.023712529846654617,0.06497348502801763,0.03738142402978112,0.2265625,0.68475341796875,0.6300048828125,-8.145038604736328,14.404580116271973,-4.267175674438477
1686748098.2335455,[],0,0.0032848743983915486,0.02426974655072461,0.06458467136490377,0.0366184575549906,0.22625732421875,0.68560791015625,0.6220703125,-7.229007720947266,14.358778953552246,-4.099236488342285
1686748098.2342262,[],0,0.003365366814883614,0.0245576690281876,0.06445214147833962,0.03655724098245033,0.2236328125,0.68524169921875,0.61676025390625,-7.27480936050415,14.931297302246094,-4.213740348815918
1686748098.2876186,[],0,0.003219906721992212,0.02351267729466141,0.064671421629965,0.038259318996362146,0.224853515625,0.68670654296875,0.620849609375,-6.7633585929870605,14.961832046508789,-4.099236488342285
1686748098.2882318,[],0,0.0032676759849431546,0.024030009228644976,0.0645362323636299,0.036913097315668865,0.224609375,0.68658447265625,0.6190185546875,-6.351145267486572,14.480916023254395,-4.053435325622559
