Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,q_state.q,q_state.qd,q_state.qdd,tau,force_up,force_down
1686747521.522572,248073,1686747521,522572131,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5276635,248074,1686747521,527663388,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5325894,248075,1686747521,532589530,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.537581,248076,1686747521,537580977,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5425982,248077,1686747521,542598213,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5476046,248078,1686747521,547604537,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5525937,248079,1686747521,552593740,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5575757,248080,1686747521,557575779,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5625997,248081,1686747521,562599678,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.567694,248082,1686747521,567693889,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5726125,248083,1686747521,572612608,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5775928,248084,1686747521,577592883,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.582653,248085,1686747521,582653151,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.5875776,248086,1686747521,587577550,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.592603,248087,1686747521,592602871,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.597688,248088,1686747521,597687926,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6026073,248089,1686747521,602607175,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6078045,248090,1686747521,607804534,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.616227,248091,1686747521,616226888,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6175485,248092,1686747521,617548583,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6225717,248093,1686747521,622571650,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6276202,248094,1686747521,627620315,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.632563,248095,1686747521,632563089,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6375914,248096,1686747521,637591286,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6425943,248097,1686747521,642594235,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6477227,248098,1686747521,647722792,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6526632,248099,1686747521,652663182,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.659038,248100,1686747521,659038110,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6628098,248101,1686747521,662809887,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6709,248102,1686747521,670900069,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6727905,248103,1686747521,672790566,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6778696,248104,1686747521,677869659,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6825788,248105,1686747521,682578869,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.687571,248106,1686747521,687571137,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.692684,248107,1686747521,692683905,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.6975508,248108,1686747521,697550744,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.7025847,248109,1686747521,702584632,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.7075992,248110,1686747521,707599233,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.7126338,248111,1686747521,712633841,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.717624,248112,1686747521,717623885,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.722612,248113,1686747521,722611996,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.727675,248114,1686747521,727674919,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.7326925,248115,1686747521,732692405,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.7392426,248116,1686747521,739242597,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.7425873,248117,1686747521,742587290,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
1686747521.747694,248118,1686747521,747693927,,82.49378306572446,-2.3470495867982044e-14,0.0,0.0,0.0,0.0
