Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type
1686747524.7796953,0,1686747524,779695250,,rest
1686747527.7796953,1,1686747527,779695368,,load
1686747536.7796955,2,1686747536,779695438,,unload
1686747539.7796955,3,1686747539,779695454,,rest
1686747542.7796955,4,1686747542,779695569,,load
1686747551.7796957,5,1686747551,779695664,,unload
1686747554.7796957,6,1686747554,779695738,,rest
1686747557.7796957,7,1686747557,779695821,,load
1686747566.7796957,8,1686747566,779695850,,unload
1686747569.779696,9,1686747569,779695872,,rest
1686747572.779696,10,1686747572,779695943,,load
1686747581.779696,11,1686747581,779695946,,unload
1686747584.779696,12,1686747584,779695996,,rest
1686747587.779696,13,1686747587,779696066,,load
1686747596.7796962,14,1686747596,779696183,,unload
1686747599.7796962,15,1686747599,779696281,,rest
1686747602.7796962,16,1686747602,779696289,,load
1686747611.7796962,17,1686747611,779696310,,unload
1686747614.7796965,18,1686747614,779696437,,rest
1686747617.7796965,19,1686747617,779696573,,load
1686747626.7796967,20,1686747626,779696700,,unload
1686747629.7796967,21,1686747629,779696714,,rest
1686747632.7796967,22,1686747632,779696769,,load
1686747641.7796967,23,1686747641,779696800,,unload
1686747644.7796967,24,1686747644,779696813,,rest
1686747647.779697,25,1686747647,779696836,,load
1686747656.779697,26,1686747656,779696892,,unload
1686747659.779697,27,1686747659,779696934,,rest
1686747662.779697,28,1686747662,779696985,,load
1686747671.779697,29,1686747671,779697046,,unload
