Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,object,mass
1686747530.3649147,86,1686747530,364914626,,bottle,0.5
1686747538.5631325,87,1686747538,563132421,,NONE,0.0
1686747544.197848,88,1686747544,197847975,,bottle,0.5
1686747553.6477728,89,1686747553,647772671,,NONE,0.0
1686747559.29786,90,1686747559,297859906,,bottle,0.5
1686747559.3781419,91,1686747559,378141870,,NONE,0.0
1686747561.7978065,92,1686747561,797806412,,bottle,0.5
1686747568.1278386,93,1686747568,127838673,,NONE,0.0
1686747574.8278728,94,1686747574,827872865,,bottle,0.5
1686747580.597833,95,1686747580,597832835,,NONE,0.0
1686747580.6983366,96,1686747580,698336692,,bottle,0.5
1686747580.712885,97,1686747580,712884861,,NONE,0.0
1686747580.812959,98,1686747580,812959022,,bottle,0.5
1686747580.8628953,99,1686747580,862895220,,NONE,0.0
1686747581.0628808,100,1686747581,62880820,,bottle,0.5
1686747584.0628564,101,1686747584,62856404,,NONE,0.0
1686747589.1780689,102,1686747589,178068895,,bottle,0.5
1686747598.4281638,103,1686747598,428163710,,NONE,0.0
1686747603.9980283,104,1686747603,998028375,,bottle,0.5
1686747607.6278968,105,1686747607,627896722,,NONE,0.0
1686747607.9956868,106,1686747607,995686665,,bottle,0.5
1686747613.6977162,107,1686747613,697716314,,NONE,0.0
1686747619.0278296,108,1686747619,27829587,,bottle,0.5
1686747628.8128211,109,1686747628,812821048,,NONE,0.0
1686747634.0977502,110,1686747634,97750211,,bottle,0.5
1686747643.648002,111,1686747643,648001935,,NONE,0.0
1686747649.097913,112,1686747649,97912938,,bottle,0.5
1686747658.0978343,113,1686747658,97834433,,NONE,0.0
1686747664.3130124,114,1686747664,313012391,,bottle,0.5
1686747673.6632354,115,1686747673,663235511,,NONE,0.0
