Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type
1686747863.7816386,0,1686747863,781638611,,rest
1686747866.7816386,1,1686747866,781638684,,load
1686747875.7816386,2,1686747875,781638723,,unload
1686747878.7816389,3,1686747878,781638815,,rest
1686747881.7816389,4,1686747881,781638897,,load
1686747890.781639,5,1686747890,781639012,,unload
1686747893.781639,6,1686747893,781639074,,rest
1686747896.781639,7,1686747896,781639165,,load
1686747905.7816393,8,1686747905,781639247,,unload
1686747908.7816393,9,1686747908,781639367,,rest
1686747911.7816393,10,1686747911,781639377,,load
1686747920.7816396,11,1686747920,781639497,,unload
1686747923.7816396,12,1686747923,781639526,,rest
1686747926.7816396,13,1686747926,781639615,,load
1686747935.7816396,14,1686747935,781639691,,unload
1686747938.7816398,15,1686747938,781639759,,rest
1686747941.7816398,16,1686747941,781639778,,load
1686747950.7816398,17,1686747950,781639791,,unload
1686747953.7816398,18,1686747953,781639878,,rest
1686747956.7816398,19,1686747956,781639886,,load
1686747965.7816682,20,1686747965,781668260,,unload
1686747968.7816684,21,1686747968,781668397,,rest
1686747971.7816684,22,1686747971,781668504,,load
1686747980.7816687,23,1686747980,781668551,,unload
1686747983.7816687,24,1686747983,781668637,,rest
1686747986.7816687,25,1686747986,781668702,,load
1686747995.7816687,26,1686747995,781668708,,unload
1686747998.7816687,27,1686747998,781668782,,rest
1686748001.781669,28,1686748001,781668887,,load
1686748010.781669,29,1686748010,781668900,,unload
