Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,value.data
91.452404017,18087,91,452404017,,30.0
91.457457639,18088,91,457457639,,30.0
91.462457249,18089,91,462457249,,30.0
91.46745793,18090,91,467457930,,30.0
91.472459013,18091,91,472459013,,30.0
91.477459825,18092,91,477459825,,30.0
91.482458503,18093,91,482458503,,30.0
91.487460206,18094,91,487460206,,30.0
91.492460897,18095,91,492460897,,30.0
91.497459916,18096,91,497459916,,30.0
91.502462761,18097,91,502462761,,30.0
91.507460768,18098,91,507460768,,30.0
91.512460318,18099,91,512460318,,30.0
91.517460118,18100,91,517460118,,30.0
91.522461491,18101,91,522461491,,30.0
91.527464977,18102,91,527464977,,30.0
91.532456902,18103,91,532456902,,30.0
91.537458185,18104,91,537458185,,30.0
91.542458816,18105,91,542458816,,30.0
91.547459197,18106,91,547459197,,30.0
91.5524605,18107,91,552460500,,30.0
91.557459408,18108,91,557459408,,30.0
91.562460721,18109,91,562460721,,30.0
91.567460681,18110,91,567460681,,30.0
91.572461924,18111,91,572461924,,30.0
91.57745957,18112,91,577459570,,30.0
91.582460772,18113,91,582460772,,30.0
91.587460292,18114,91,587460292,,30.0
91.592460603,18115,91,592460603,,30.0
91.597460392,18116,91,597460392,,30.0
91.602462085,18117,91,602462085,,30.0
91.607459311,18118,91,607459311,,30.0
91.612460794,18119,91,612460794,,30.0
91.617459882,18120,91,617459882,,30.0
91.622458119,18121,91,622458119,,30.0
91.627459823,18122,91,627459823,,30.0
91.632457458,18123,91,632457458,,30.0
91.637460033,18124,91,637460033,,30.0
91.642460044,18125,91,642460044,,30.0
91.647459603,18126,91,647459603,,30.0
91.65246165799999,18127,91,652461658,,30.0
91.657460275,18128,91,657460275,,30.0
91.662460025,18129,91,662460025,,30.0
91.667458061,18130,91,667458061,,30.0
91.672460396,18131,91,672460396,,30.0
91.677456559,18132,91,677456559,,30.0
91.68245679,18133,91,682456790,,30.0
91.687458834,18134,91,687458834,,30.0
91.692458564,18135,91,692458564,,30.0
91.697459847,18136,91,697459847,,30.0
91.702460388,18137,91,702460388,,30.0
91.707457332,18138,91,707457332,,30.0
91.712461711,18139,91,712461711,,30.0
91.717463605,18140,91,717463605,,30.0
91.722458756,18141,91,722458756,,30.0
91.72746058,18142,91,727460580,,30.0
91.732464027,18143,91,732464027,,30.0
91.737459148,18144,91,737459148,,30.0
91.742459468,18145,91,742459468,,30.0
91.747459629,18146,91,747459629,,30.0
91.752459669,18147,91,752459669,,30.0
91.75745977,18148,91,757459770,,30.0
91.76245974,18149,91,762459740,,30.0
91.76745959,18150,91,767459590,,30.0
91.772458559,18151,91,772458559,,30.0
91.777462185,18152,91,777462185,,30.0
91.782459931,18153,91,782459931,,30.0
91.787458108,18154,91,787458108,,30.0
