Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,object,mass
1686747188.4502501,46,1686747188,450250177,,bottle,0.5
1686747188.9627612,47,1686747188,962761168,,NONE,0.0
1686747190.097697,48,1686747190,97697004,,bottle,0.5
1686747190.8275032,49,1686747190,827503284,,NONE,0.0
1686747203.6632307,50,1686747203,663230667,,bottle,0.5
1686747212.6481676,51,1686747212,648167575,,NONE,0.0
1686747218.3128831,52,1686747218,312883242,,bottle,0.5
1686747223.047617,53,1686747223,47616893,,NONE,0.0
1686747223.1477864,54,1686747223,147786397,,bottle,0.5
1686747223.1627514,55,1686747223,162751429,,NONE,0.0
1686747233.4979587,56,1686747233,497958561,,bottle,0.5
1686747234.7779472,57,1686747234,777947301,,NONE,0.0
1686747243.0475953,58,1686747243,47595379,,bottle,0.5
1686747243.2630312,59,1686747243,263031300,,NONE,0.0
1686747248.9126914,60,1686747248,912691319,,bottle,0.5
1686747251.6976273,61,1686747251,697627224,,NONE,0.0
1686747252.1827753,62,1686747252,182775141,,bottle,0.5
1686747252.412618,63,1686747252,412617952,,NONE,0.0
1686747253.7976313,64,1686747253,797631301,,bottle,0.5
1686747257.182842,65,1686747257,182841944,,NONE,0.0
1686747257.263249,66,1686747257,263248967,,bottle,0.5
1686747257.4775524,67,1686747257,477552312,,NONE,0.0
1686747263.8632936,68,1686747263,863293701,,bottle,0.5
1686747272.4977136,69,1686747272,497713598,,NONE,0.0
1686747278.68358,70,1686747278,683579954,,bottle,0.5
1686747287.56291,71,1686747287,562910159,,NONE,0.0
1686747288.0275462,72,1686747288,27546249,,bottle,0.5
1686747291.680463,73,1686747291,680463132,,NONE,0.0
1686747293.4480393,74,1686747293,448039314,,bottle,0.5
1686747302.7479503,75,1686747302,747950279,,NONE,0.0
1686747308.6280403,76,1686747308,628040239,,bottle,0.5
1686747317.8831415,77,1686747317,883141428,,NONE,0.0
1686747323.597898,78,1686747323,597897928,,bottle,0.5
1686747324.2683034,79,1686747324,268303374,,NONE,0.0
1686747324.6330185,80,1686747324,633018413,,bottle,0.5
1686747326.0797794,81,1686747326,79779376,,NONE,0.0
1686747326.613371,82,1686747326,613370889,,bottle,0.5
1686747332.6630287,83,1686747332,663028620,,NONE,0.0
