Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type
1686747183.8591251,0,1686747183,859125044,,rest
1686747186.8591251,1,1686747186,859125109,,load
1686747195.8591251,2,1686747195,859125139,,unload
1686747198.8591251,3,1686747198,859125171,,rest
1686747201.8591251,4,1686747201,859125192,,load
1686747210.8591254,5,1686747210,859125320,,unload
1686747213.8591254,6,1686747213,859125338,,rest
1686747216.8591254,7,1686747216,859125355,,load
1686747225.8591254,8,1686747225,859125482,,unload
1686747228.8591256,9,1686747228,859125526,,rest
1686747231.8591256,10,1686747231,859125559,,load
1686747240.8591256,11,1686747240,859125565,,unload
1686747243.8591256,12,1686747243,859125585,,rest
1686747246.8591256,13,1686747246,859125655,,load
1686747255.8591256,14,1686747255,859125709,,unload
1686747258.8591259,15,1686747258,859125828,,rest
1686747261.8591259,16,1686747261,859125894,,load
1686747270.8591259,17,1686747270,859125908,,unload
1686747273.859126,18,1686747273,859125972,,rest
1686747276.859126,19,1686747276,859126024,,load
1686747285.859126,20,1686747285,859126149,,unload
1686747288.8591263,21,1686747288,859126238,,rest
1686747291.8591263,22,1686747291,859126238,,load
1686747300.8591263,23,1686747300,859126341,,unload
1686747303.8591266,24,1686747303,859126478,,rest
1686747306.8591266,25,1686747306,859126574,,load
1686747315.8591266,26,1686747315,859126578,,unload
1686747318.8591266,27,1686747318,859126622,,rest
1686747321.8591266,28,1686747321,859126625,,load
1686747330.8591268,29,1686747330,859126700,,unload
