Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,overshoot,rise_t,settle_t,ringing
47.185774664,0,47,185774664,,0.12200811169191184,11.179996616,0.0,0.0
67.195773643,1,67,195773643,,0.0026211978351966536,12.054998207,0.0,0.0
87.200771913,2,87,200771913,,0.0,11.704999438,0.0,0.0
107.210772143,3,107,210772143,,1.0724149533659926,11.679999864,0.0,0.0
127.215772237,4,127,215772237,,0.3287122750898135,11.589994309,0.0,0.0
147.225775155,5,147,225775155,,3.655405332739562,11.84000419,0.0,0.0
167.230772411,6,167,230772411,,3.494223671750973,11.589999341,0.0,0.0
187.235772522,7,187,235772522,,4.114799487549931,11.729999427,0.0,0.0
207.240771752,8,207,240771752,,0.0,11.584999286,0.0,0.0
227.245780954,9,227,245780954,,2.451159933624865,11.729996649,0.0,0.0
247.260775262,10,247,260775262,,1.2458779293637292,11.530000128,0.0,0.0
267.265774953,11,267,265774953,,1.292958077610237,11.505001021,0.0,0.0
287.270780541,12,287,270780541,,0.5933380582890777,10.989998823,0.0,0.0
307.275780033,13,307,275780033,,0.0,11.594999985,0.0,0.0
327.285773182,14,327,285773182,,1.4238961743143506,11.329998498,0.0,0.0
347.295775315,15,347,295775315,,0.0,11.574996319,0.0,0.0
367.305777276,16,367,305777276,,0.0,11.604998496,0.0,0.0
387.315774228,17,387,315774228,,1.4084452279606694,12.115000984,0.0,0.0
