Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,overshoot,rise_t,settle_t,ringing
52.445770226,0,52,445770226,,0.5295696846213502,11.589987474,0.0,0.0
72.450771087,1,72,450771087,,2.0301478818301604,11.654999566,0.0,0.0
92.460770415,2,92,460770415,,0.2265389030888656,11.904995555,0.0,0.0
112.46077587,3,112,460775870,,0.7734397857965121,11.62500007,0.0,0.0
132.475771558,4,132,475771558,,0.0,11.565010342,0.0,0.0
152.480773387,5,152,480773387,,0.4004321854960864,11.295000783,0.0,0.0
172.490770422,6,172,490770422,,1.8934444085311242,11.495000996,0.0,0.0
192.500771875,7,192,500771875,,0.7634427904030332,11.530001551,0.0,0.0
212.51077094,8,212,510770940,,0.6560047257875965,11.600005126,0.0,0.0
232.51577177,9,232,515771770,,1.1393671614903838,11.775002499,0.0,0.0
252.520778032,10,252,520778032,,1.3141504975836966,11.625001117,0.0,0.0
272.525772439,11,272,525772439,,0.18847167991415859,11.62999842,0.0,0.0
292.540769938,12,292,540769938,,6.227444612011496,11.664997508999999,0.0,0.0
312.545771841,13,312,545771841,,3.6189382202930176,11.674999777,0.0,0.0
332.555771328,14,332,555771328,,6.604548056606575,11.899999291,0.0,0.0
352.565771145,15,352,565771145,,0.9795911335809961,11.444992471,0.0,0.0
372.575769836,16,372,575769836,,1.6448047599242699,11.764995472,0.0,0.0
